p,cooperativity,gpg_mode,factor,eig_index,pulse,alpha,beta,gamma,kappa,sequence_file
0.0005,1000000.0,erroneous,feedback U_1,1,5,1.2730804972143746,-2.258228402385594,2.211420538954491,2.5200718301070055,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,6,1.8660831999911296,0.9778473694399525,1.4570680914836296,0.023143694706057986,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,7,-3.039816481584546,-0.9361638919099675,3.0917022638223757,2.8875545908864253,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,1,8,3.088425957525023,0.8852456755647269,0.5436125372221446,0.6607792195835003,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,2,1,1.9210852473403623,-1.7026189938332215,1.100456222543507,-0.00011020230833684922,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,2,0.27256075740102986,1.3192973284813863,0.16816383960848205,-1.4883515269707854,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,3,-2.3179687434094047,-1.9623227482019725,0.2946707166820793,-0.007307371845457186,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,4,0.7829744631304921,-0.9435827754020144,2.32923817396509,-0.6025635580902191,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,5,1.8014127181065551,-2.6168835652254554,1.8212113106266843,-1.2323662345633584,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,6,-2.2667579384262053,-1.2223583493160728,-1.657775658294943,0.8633486036322726,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,7,2.8946365761236166,2.1688666234157314,-1.9975424365145316,0.22416784606219017,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,2,8,-2.3884574677679744,-1.8723552265159331,1.4726710792004334,0.64200179483069,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,3,1,-2.782046742996403,0.2903171465826479,-2.6914457876521163,-0.0004471950001966087,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,2,-1.7782167001618812,-2.8882655107329467,-1.4508730117631132,-0.6747109192125549,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,3,0.46773784071051544,0.6900781678845894,1.1283675647356781,-2.9493172957765594,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,4,-0.34479677663593067,-2.762020277811961,-1.602645861629981,2.262151133986218,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,5,-2.155675805458642,-2.0943494778354914,1.847251110861501,-2.6427783015833124,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,6,-1.0870707075994512,-1.2008861774927442,-0.21055928184448436,2.0965001890856794,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,7,1.7933989818596199,-2.8813736164297836,2.133057543568582,0.5936793723573756,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,3,8,-3.0989722124042864,-1.9067322887904494,1.5383009022068048,-1.7459314122810083,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,4,1,-0.1393617232620213,-3.128995442330599,3.141588559356576,1.3702380700349755e-06,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,2,-3.1233116940826684,1.4194858284845404,-3.020422541913198,3.0828335258502437,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,3,3.069067195510122,-0.130839786679054,-0.9937265010675446,1.7665827617690435,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,4,0.5154670315999831,-2.765793229110917,0.22973127708555682,-2.328383043744472,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,5,1.7853774645991198,1.2471272025815665,-2.245205650857833,0.9821861896108393,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,6,-0.7509868320435235,-2.332751149105801,2.9968010353395353,-0.9895393069351415,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,7,-2.3477171072556247,-2.8277959030559416,-2.4086352691969464,-0.9763553686511109,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,4,8,-0.3497489758664011,-2.673911095672014,-1.775016414669318,-0.12079144817458642,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,5,1,-0.005817195269508552,-2.8842440991095044,-1.6353820345025047,7.43886702535154e-06,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,2,-1.8134195435851144,-0.8498804537232214,-1.8310042677975014,1.8381848492399024,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,3,2.652955684317629,0.043152241139948116,1.6992865429046646,-0.3464070014025995,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,4,2.3591274305461836,-1.895732020888669,1.1662128915954526,-1.1428777554491303,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,5,2.0215566879181175,3.0164763496932823,2.7567275446945723,1.8379393695469632,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,6,1.4263526272973033,-2.7019162914191974,1.3002480547702613,-2.596606929079722,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,7,1.0855459006966077,1.231184700776731,-0.6775881585567047,0.8323759303882703,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,5,8,-0.4788598719646727,-2.9411469936136228,1.5642925807761279,0.45336883318250276,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,7,1,-1.8122561024846124,-0.2137653376172625,2.4403816466563137,-0.00030894872446972116,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,2,-0.7454250848056486,-2.6178373251991744,-1.40558454505121,-0.6391483969361939,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,3,-1.8449092358186745,0.7722028461445676,-0.9359847660668571,-0.8342656527479293,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,4,2.4429445312954097,-0.0852451273116152,-2.264328747428206,-2.654962576501065,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,5,3.01517344597483,-1.6950332142494469,2.4429498267258967,-3.141592653589793,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,6,-3.058877517943342,-1.3407783701915763,2.327040682082716,0.5900709492542687,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,7,1.5750782502027982,-2.2354754626005735,-2.9948605473813785,2.9022580753188616,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,7,8,-0.9808598548377508,-0.18757055799970968,0.7085482472373977,0.35682232354641097,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
