p,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,phase_aligned_state_error,source_file
0.00021544346900318823,feedback U_0,3,9,-1.5707963267948966,0.0,-1.5707963267948966,0.999999999318929,6.810709773930057e-10,2.6097330278439083e-05,sequences/p_2p154434690032em04__feedback_u_0__eig_03.csv
0.00021544346900318823,feedback U_0,4,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999949061,5.093925281585143e-12,2.25703099041444e-06,sequences/p_2p154434690032em04__feedback_u_0__eig_04.csv
0.00021544346900318823,feedback U_0,5,9,-0.0003959222294229783,0.0,-0.00039592222942319566,0.9999999999986986,1.3014034294656085e-12,1.14094813533782e-06,sequences/p_2p154434690032em04__feedback_u_0__eig_05.csv
0.00021544346900318823,feedback U_0,6,9,0.00039592222942297475,0.0,0.00039592222942319566,0.9999999999943663,5.633715716157894e-12,2.373536874870718e-06,sequences/p_2p154434690032em04__feedback_u_0__eig_06.csv
0.00021544346900318823,feedback U_1,0,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999999981461,1.8538504065190864e-12,1.3617250367626856e-06,sequences/p_2p154434690032em04__feedback_u_1__eig_00.csv
0.00021544346900318823,feedback U_1,1,8,-1.122963929865964,0.0,-1.1229639298659642,0.9999999999954203,4.579669976578771e-12,2.1400656052954423e-06,sequences/p_2p154434690032em04__feedback_u_1__eig_01.csv
0.00021544346900318823,feedback U_1,3,8,1.122963929865964,0.0,1.1229639298659642,0.999999999959861,4.013900323229791e-11,6.3354962999421666e-06,sequences/p_2p154434690032em04__feedback_u_1__eig_03.csv
0.00021544346900318823,feedback U_1,4,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999999903002,9.699796521545068e-12,3.1144439835857345e-06,sequences/p_2p154434690032em04__feedback_u_1__eig_04.csv
0.00021544346900318823,feedback U_1,5,8,-0.9162569630770588,0.0,-0.9162569630770587,0.9999999999990201,9.798828415341632e-13,9.900490025582806e-07,sequences/p_2p154434690032em04__feedback_u_1__eig_05.csv
0.00021544346900318823,feedback U_1,6,8,0.9162569630770587,0.0,0.9162569630770587,0.9999999999992266,7.73381358953884e-13,8.794789311152868e-07,sequences/p_2p154434690032em04__feedback_u_1__eig_06.csv
0.00021544346900318823,feedback U_2,0,10,-1.333562372610238,0.0,-1.333562372610238,0.9999999999981399,1.8600676554569873e-12,1.363856759881213e-06,sequences/p_2p154434690032em04__feedback_u_2__eig_00.csv
0.00021544346900318823,feedback U_2,1,10,-0.5644623420947174,0.0,-0.5644623420947172,0.9999999999989351,1.0649259252204502e-12,1.0319098936748636e-06,sequences/p_2p154434690032em04__feedback_u_2__eig_01.csv
0.00021544346900318823,feedback U_2,3,10,0.5644623420947175,0.0,0.5644623420947177,0.9999999999951767,4.82325290818153e-12,2.1962057622634334e-06,sequences/p_2p154434690032em04__feedback_u_2__eig_03.csv
0.00021544346900318823,feedback U_2,4,10,1.3335623726102381,0.0,1.3335623726102384,0.9999999999976401,2.3598900611432327e-12,1.5363531756238195e-06,sequences/p_2p154434690032em04__feedback_u_2__eig_04.csv
0.00021544346900318823,feedback U_2,5,10,-2.274280484122752,0.0,-2.274280484122752,0.9999999999992444,7.556177905598815e-13,8.694783459765028e-07,sequences/p_2p154434690032em04__feedback_u_2__eig_05.csv
0.00021544346900318823,feedback U_2,6,10,2.274280484122752,0.0,2.2742804841227517,0.9999999999992071,7.929212841872868e-13,8.905694644423869e-07,sequences/p_2p154434690032em04__feedback_u_2__eig_06.csv
0.00021544346900318823,feedback U_2,7,10,3.141592653589793,0.0,-3.141592653589793,0.9999999999994575,5.424549698318515e-13,7.364617977674759e-07,sequences/p_2p154434690032em04__feedback_u_2__eig_07.csv
