p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_1,7,6,-3.141592653589793,-1.9585691302293986,2.198061840907257,2.1844242104512417,1.2141748315178447,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,7,1.5767487073224016,-0.2167520646672011,-3.141592653589793,2.1683020997722577,3.9757971315421727,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,7,8,2.3136863598032242,0.14923060508041752,0.6122391928514052,0.494473349452031,1.581466167631758,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,1,-2.4184050834058772,1.905114965243818,-3.135184232888349,8.119064291869753e-07,13.284990655777278,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,2,-1.9933042007961796,3.0274926510341538,0.8236797788996515,-1.3021724776660415,0.8274701085073903,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,3,1.631964918463281,2.178488268691324,-2.898800961562998,0.5680673750991692,0.5977380057130072,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,4,-1.06100946048625,-0.2624525097932158,-0.032508697263289504,0.2548461405711099,1.3170374077583604,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,5,0.009961454967493929,-0.36268291885662846,0.0040327838961138635,-0.0003216979558670614,1.0012060466956505,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,6,0.012106590130644109,-0.1442549723365099,0.009961308268696916,-0.0044022075623891465,1.0009210370455888,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,8,7,0.024542905841742915,0.16168051485470972,0.012104427058342405,-0.019706662690177453,1.001645820124454,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
